res_file,feats,imp_ratio,obs,overlap,distance
feat110_imp72_rat0.65_obs3100.json,110,0.65,3100,0.81,0.3029
feat130_imp104_rat0.8_obs6100.json,130,0.8,6100,0.89,0.2917
feat30_imp24_rat0.8_obs100.json,30,0.8,100,0.88,0.2976
feat90_imp5_rat0.05_obs3100.json,90,0.05,3100,1.0,0.5832
feat50_imp10_rat0.2_obs1600.json,50,0.2,1600,0.7,0.4771
feat30_imp2_rat0.05_obs6100.json,30,0.05,6100,1.0,0.639
feat110_imp72_rat0.65_obs4600.json,110,0.65,4600,0.89,0.3611
feat130_imp65_rat0.5_obs1600.json,130,0.5,1600,0.83,0.3395
feat70_imp14_rat0.2_obs4600.json,70,0.2,4600,0.93,0.5089
feat50_imp25_rat0.5_obs100.json,50,0.5,100,0.72,0.2558
feat130_imp85_rat0.65_obs7600.json,130,0.65,7600,0.86,0.326
feat10_imp4_rat0.35_obs4600.json,10,0.35,4600,1.0,0.535
feat90_imp86_rat0.95_obs1600.json,90,0.95,1600,0.95,0.1416
feat30_imp20_rat0.65_obs7600.json,30,0.65,7600,0.9,0.4346
feat50_imp3_rat0.05_obs100.json,50,0.05,100,1.0,0.7686
feat70_imp56_rat0.8_obs7600.json,70,0.8,7600,0.91,0.3601
feat130_imp26_rat0.2_obs1600.json,130,0.2,1600,0.85,0.3953
feat90_imp32_rat0.35_obs9100.json,90,0.35,9100,0.84,0.4548
feat90_imp86_rat0.95_obs4600.json,90,0.95,4600,0.97,0.2459
feat30_imp29_rat0.95_obs4600.json,30,0.95,4600,0.97,0.3776
feat50_imp10_rat0.2_obs7600.json,50,0.2,7600,0.9,0.4413
feat110_imp88_rat0.8_obs9100.json,110,0.8,9100,0.92,0.365
feat50_imp40_rat0.8_obs4600.json,50,0.8,4600,0.9,0.3157
feat70_imp4_rat0.05_obs3100.json,70,0.05,3100,0.75,0.4944
feat50_imp25_rat0.5_obs6100.json,50,0.5,6100,0.92,0.458
feat30_imp24_rat0.8_obs1600.json,30,0.8,1600,0.92,0.4478
feat70_imp4_rat0.05_obs6100.json,70,0.05,6100,1.0,0.5124
feat90_imp86_rat0.95_obs3100.json,90,0.95,3100,0.98,0.373
feat50_imp3_rat0.05_obs6100.json,50,0.05,6100,1.0,0.6982
feat110_imp72_rat0.65_obs6100.json,110,0.65,6100,0.89,0.3526
feat70_imp46_rat0.65_obs6100.json,70,0.65,6100,0.87,0.3745
feat10_imp1_rat0.05_obs4600.json,10,0.05,4600,1.0,0.7616
feat110_imp6_rat0.05_obs9100.json,110,0.05,9100,1.0,0.5179
feat50_imp48_rat0.95_obs3100.json,50,0.95,3100,0.96,0.25
feat50_imp10_rat0.2_obs6100.json,50,0.2,6100,0.9,0.4662
feat50_imp40_rat0.8_obs7600.json,50,0.8,7600,0.93,0.3742
feat70_imp67_rat0.95_obs4600.json,70,0.95,4600,0.99,0.4042
feat70_imp46_rat0.65_obs3100.json,70,0.65,3100,0.89,0.3423
feat90_imp86_rat0.95_obs6100.json,90,0.95,6100,0.98,0.3624
feat110_imp105_rat0.95_obs3100.json,110,0.95,3100,0.97,0.3589
feat50_imp33_rat0.65_obs3100.json,50,0.65,3100,0.94,0.427
feat10_imp7_rat0.65_obs100.json,10,0.65,100,0.86,0.3126
feat50_imp33_rat0.65_obs1600.json,50,0.65,1600,0.94,0.4068
feat10_imp8_rat0.8_obs4600.json,10,0.8,4600,0.88,0.4978
feat70_imp35_rat0.5_obs7600.json,70,0.5,7600,0.89,0.4636
feat50_imp48_rat0.95_obs9100.json,50,0.95,9100,0.96,0.3076
feat130_imp65_rat0.5_obs9100.json,130,0.5,9100,0.77,0.3389
feat70_imp56_rat0.8_obs9100.json,70,0.8,9100,0.95,0.4377
feat90_imp59_rat0.65_obs4600.json,90,0.65,4600,0.9,0.402
feat90_imp59_rat0.65_obs7600.json,90,0.65,7600,0.92,0.4089
feat110_imp105_rat0.95_obs6100.json,110,0.95,6100,0.97,0.3582
feat50_imp40_rat0.8_obs9100.json,50,0.8,9100,0.85,0.3472
feat50_imp10_rat0.2_obs100.json,50,0.2,100,0.7,0.4055
feat70_imp56_rat0.8_obs1600.json,70,0.8,1600,0.88,0.3355
feat110_imp39_rat0.35_obs3100.json,110,0.35,3100,0.77,0.3658
feat130_imp104_rat0.8_obs1600.json,130,0.8,1600,0.89,0.2563
feat130_imp7_rat0.05_obs3100.json,130,0.05,3100,0.86,0.4554
feat10_imp2_rat0.2_obs4600.json,10,0.2,4600,1.0,0.7324
feat30_imp15_rat0.5_obs9100.json,30,0.5,9100,0.93,0.4355
feat70_imp14_rat0.2_obs100.json,70,0.2,100,0.71,0.3566
feat50_imp10_rat0.2_obs9100.json,50,0.2,9100,1.0,0.511
feat50_imp25_rat0.5_obs7600.json,50,0.5,7600,0.88,0.3665
feat50_imp18_rat0.35_obs4600.json,50,0.35,4600,0.83,0.4892
feat90_imp32_rat0.35_obs4600.json,90,0.35,4600,0.84,0.3814
feat50_imp33_rat0.65_obs9100.json,50,0.65,9100,0.85,0.3698
feat50_imp18_rat0.35_obs6100.json,50,0.35,6100,0.94,0.4849
feat110_imp88_rat0.8_obs7600.json,110,0.8,7600,0.89,0.3187
feat70_imp25_rat0.35_obs7600.json,70,0.35,7600,0.96,0.5099
feat50_imp18_rat0.35_obs9100.json,50,0.35,9100,0.89,0.3946
feat50_imp25_rat0.5_obs9100.json,50,0.5,9100,0.84,0.3878
feat10_imp5_rat0.5_obs3100.json,10,0.5,3100,1.0,0.5175
feat110_imp22_rat0.2_obs7600.json,110,0.2,7600,0.86,0.4306
feat130_imp85_rat0.65_obs4600.json,130,0.65,4600,0.82,0.3027
feat10_imp2_rat0.2_obs100.json,10,0.2,100,1.0,0.6643
feat70_imp35_rat0.5_obs3100.json,70,0.5,3100,0.86,0.3599
feat110_imp105_rat0.95_obs9100.json,110,0.95,9100,0.97,0.3104
feat70_imp25_rat0.35_obs9100.json,70,0.35,9100,0.88,0.4675
feat50_imp25_rat0.5_obs1600.json,50,0.5,1600,0.88,0.4251
feat30_imp15_rat0.5_obs1600.json,30,0.5,1600,0.8,0.4115
feat70_imp67_rat0.95_obs6100.json,70,0.95,6100,0.96,0.3494
feat110_imp39_rat0.35_obs1600.json,110,0.35,1600,0.82,0.3523
feat110_imp22_rat0.2_obs1600.json,110,0.2,1600,0.82,0.4098
feat110_imp88_rat0.8_obs1600.json,110,0.8,1600,0.88,0.2857
feat90_imp18_rat0.2_obs9100.json,90,0.2,9100,0.89,0.4936
feat90_imp5_rat0.05_obs6100.json,90,0.05,6100,1.0,0.612
feat90_imp32_rat0.35_obs7600.json,90,0.35,7600,0.91,0.4526
feat90_imp18_rat0.2_obs100.json,90,0.2,100,0.72,0.3041
feat30_imp6_rat0.2_obs9100.json,30,0.2,9100,1.0,0.5096
feat110_imp22_rat0.2_obs4600.json,110,0.2,4600,0.95,0.5191
feat70_imp35_rat0.5_obs6100.json,70,0.5,6100,0.91,0.4246
feat50_imp40_rat0.8_obs100.json,50,0.8,100,0.85,0.1735
feat130_imp46_rat0.35_obs1600.json,130,0.35,1600,0.8,0.3532
feat130_imp46_rat0.35_obs6100.json,130,0.35,6100,0.76,0.3465
feat130_imp46_rat0.35_obs4600.json,130,0.35,4600,0.83,0.3451
feat10_imp5_rat0.5_obs6100.json,10,0.5,6100,1.0,0.6528
feat50_imp33_rat0.65_obs100.json,50,0.65,100,0.76,0.2679
feat90_imp45_rat0.5_obs4600.json,90,0.5,4600,0.89,0.4433
feat110_imp6_rat0.05_obs1600.json,110,0.05,1600,0.83,0.4543
feat130_imp26_rat0.2_obs4600.json,130,0.2,4600,0.88,0.4565
feat90_imp45_rat0.5_obs7600.json,90,0.5,7600,0.89,0.3693
feat10_imp7_rat0.65_obs1600.json,10,0.65,1600,0.71,0.4605
feat110_imp22_rat0.2_obs9100.json,110,0.2,9100,0.82,0.4475
feat90_imp32_rat0.35_obs100.json,90,0.35,100,0.78,0.31
feat130_imp46_rat0.35_obs3100.json,130,0.35,3100,0.8,0.3676
feat10_imp1_rat0.05_obs6100.json,10,0.05,6100,1.0,0.819
feat10_imp5_rat0.5_obs100.json,10,0.5,100,0.8,0.568
feat90_imp45_rat0.5_obs1600.json,90,0.5,1600,0.82,0.3246
feat10_imp7_rat0.65_obs7600.json,10,0.65,7600,0.86,0.4676
feat30_imp2_rat0.05_obs9100.json,30,0.05,9100,1.0,0.7456
feat90_imp18_rat0.2_obs1600.json,90,0.2,1600,0.89,0.4511
feat130_imp26_rat0.2_obs7600.json,130,0.2,7600,0.92,0.4687
feat70_imp25_rat0.35_obs3100.json,70,0.35,3100,0.8,0.4081
feat90_imp86_rat0.95_obs7600.json,90,0.95,7600,0.95,0.2587
feat70_imp25_rat0.35_obs4600.json,70,0.35,4600,0.92,0.4371
feat50_imp3_rat0.05_obs3100.json,50,0.05,3100,1.0,0.6328
feat110_imp22_rat0.2_obs6100.json,110,0.2,6100,0.86,0.4411
feat110_imp55_rat0.5_obs3100.json,110,0.5,3100,0.85,0.3815
feat10_imp1_rat0.05_obs7600.json,10,0.05,7600,1.0,0.748
feat90_imp86_rat0.95_obs9100.json,90,0.95,9100,0.95,0.3022
feat110_imp105_rat0.95_obs7600.json,110,0.95,7600,0.97,0.3112
feat10_imp8_rat0.8_obs7600.json,10,0.8,7600,0.88,0.4213
feat110_imp39_rat0.35_obs4600.json,110,0.35,4600,0.92,0.4414
feat10_imp7_rat0.65_obs3100.json,10,0.65,3100,1.0,0.4478
feat50_imp18_rat0.35_obs1600.json,50,0.35,1600,0.94,0.5516
feat50_imp3_rat0.05_obs4600.json,50,0.05,4600,1.0,0.6149
feat30_imp11_rat0.35_obs4600.json,30,0.35,4600,1.0,0.5148
feat130_imp26_rat0.2_obs9100.json,130,0.2,9100,0.92,0.4519
feat30_imp2_rat0.05_obs3100.json,30,0.05,3100,1.0,0.7242
feat90_imp5_rat0.05_obs100.json,90,0.05,100,1.0,0.525
feat10_imp1_rat0.05_obs3100.json,10,0.05,3100,1.0,0.8324
feat10_imp4_rat0.35_obs100.json,10,0.35,100,0.75,0.5481
feat110_imp39_rat0.35_obs7600.json,110,0.35,7600,0.77,0.3718
feat10_imp4_rat0.35_obs6100.json,10,0.35,6100,1.0,0.6
feat50_imp18_rat0.35_obs3100.json,50,0.35,3100,0.89,0.4245
feat70_imp25_rat0.35_obs6100.json,70,0.35,6100,0.88,0.4747
feat90_imp72_rat0.8_obs1600.json,90,0.8,1600,0.89,0.2909
feat90_imp59_rat0.65_obs100.json,90,0.65,100,0.76,0.1782
feat50_imp48_rat0.95_obs6100.json,50,0.95,6100,0.96,0.2876
feat30_imp15_rat0.5_obs100.json,30,0.5,100,0.67,0.2595
feat70_imp4_rat0.05_obs9100.json,70,0.05,9100,1.0,0.572
feat90_imp59_rat0.65_obs1600.json,90,0.65,1600,0.85,0.2957
feat10_imp5_rat0.5_obs1600.json,10,0.5,1600,1.0,0.4667
feat70_imp35_rat0.5_obs9100.json,70,0.5,9100,0.94,0.4287
feat90_imp59_rat0.65_obs9100.json,90,0.65,9100,0.88,0.3209
feat10_imp5_rat0.5_obs7600.json,10,0.5,7600,1.0,0.45
feat70_imp46_rat0.65_obs4600.json,70,0.65,4600,0.87,0.311
feat110_imp88_rat0.8_obs6100.json,110,0.8,6100,0.93,0.3858
feat70_imp46_rat0.65_obs7600.json,70,0.65,7600,0.96,0.435
feat130_imp7_rat0.05_obs6100.json,130,0.05,6100,1.0,0.5249
feat130_imp104_rat0.8_obs3100.json,130,0.8,3100,0.88,0.2779
feat30_imp29_rat0.95_obs1600.json,30,0.95,1600,0.97,0.1817
feat70_imp4_rat0.05_obs7600.json,70,0.05,7600,1.0,0.6038
feat110_imp22_rat0.2_obs3100.json,110,0.2,3100,0.77,0.378
feat130_imp7_rat0.05_obs4600.json,130,0.05,4600,1.0,0.4987
feat30_imp29_rat0.95_obs3100.json,30,0.95,3100,0.97,0.2243
feat10_imp8_rat0.8_obs3100.json,10,0.8,3100,1.0,0.4418
feat110_imp88_rat0.8_obs4600.json,110,0.8,4600,0.91,0.3347
feat130_imp124_rat0.95_obs3100.json,130,0.95,3100,0.96,0.1907
feat90_imp72_rat0.8_obs100.json,90,0.8,100,0.86,0.1739
feat90_imp72_rat0.8_obs3100.json,90,0.8,3100,0.86,0.2759
feat110_imp72_rat0.65_obs1600.json,110,0.65,1600,0.86,0.2969
feat30_imp24_rat0.8_obs7600.json,30,0.8,7600,0.92,0.3956
feat30_imp24_rat0.8_obs3100.json,30,0.8,3100,0.88,0.3879
feat90_imp72_rat0.8_obs4600.json,90,0.8,4600,0.9,0.3578
feat10_imp7_rat0.65_obs9100.json,10,0.65,9100,0.86,0.5399
feat70_imp56_rat0.8_obs3100.json,70,0.8,3100,0.88,0.3578
feat130_imp104_rat0.8_obs4600.json,130,0.8,4600,0.88,0.2986
feat70_imp25_rat0.35_obs100.json,70,0.35,100,0.68,0.2719
feat130_imp46_rat0.35_obs9100.json,130,0.35,9100,0.85,0.3968
feat130_imp85_rat0.65_obs1600.json,130,0.65,1600,0.86,0.3312
feat130_imp7_rat0.05_obs9100.json,130,0.05,9100,0.86,0.558
feat30_imp15_rat0.5_obs3100.json,30,0.5,3100,0.93,0.5543
feat50_imp48_rat0.95_obs4600.json,50,0.95,4600,0.98,0.4284
feat70_imp4_rat0.05_obs4600.json,70,0.05,4600,1.0,0.6039
feat10_imp8_rat0.8_obs1600.json,10,0.8,1600,1.0,0.5372
feat50_imp25_rat0.5_obs3100.json,50,0.5,3100,0.88,0.4107
feat70_imp67_rat0.95_obs100.json,70,0.95,100,0.96,0.0816
feat10_imp7_rat0.65_obs6100.json,10,0.65,6100,0.86,0.4969
feat10_imp1_rat0.05_obs1600.json,10,0.05,1600,1.0,0.6687
feat50_imp25_rat0.5_obs4600.json,50,0.5,4600,0.88,0.4543
feat130_imp46_rat0.35_obs7600.json,130,0.35,7600,0.89,0.4127
feat50_imp10_rat0.2_obs4600.json,50,0.2,4600,0.8,0.4247
feat10_imp1_rat0.05_obs9100.json,10,0.05,9100,1.0,0.7801
feat110_imp105_rat0.95_obs1600.json,110,0.95,1600,0.96,0.2416
feat130_imp7_rat0.05_obs7600.json,130,0.05,7600,0.86,0.5779
feat10_imp4_rat0.35_obs7600.json,10,0.35,7600,1.0,0.6341
feat130_imp124_rat0.95_obs6100.json,130,0.95,6100,0.96,0.3069
feat50_imp33_rat0.65_obs4600.json,50,0.65,4600,0.91,0.4026
feat90_imp45_rat0.5_obs6100.json,90,0.5,6100,0.89,0.3813
feat110_imp39_rat0.35_obs6100.json,110,0.35,6100,0.87,0.4062
feat50_imp3_rat0.05_obs1600.json,50,0.05,1600,1.0,0.7033
feat70_imp25_rat0.35_obs1600.json,70,0.35,1600,0.84,0.4495
feat10_imp5_rat0.5_obs4600.json,10,0.5,4600,0.8,0.4835
feat30_imp11_rat0.35_obs7600.json,30,0.35,7600,0.91,0.5169
feat130_imp26_rat0.2_obs6100.json,130,0.2,6100,0.88,0.4375
feat90_imp5_rat0.05_obs1600.json,90,0.05,1600,1.0,0.597
feat70_imp46_rat0.65_obs100.json,70,0.65,100,0.85,0.2654
feat30_imp15_rat0.5_obs6100.json,30,0.5,6100,0.87,0.4738
feat90_imp45_rat0.5_obs100.json,90,0.5,100,0.67,0.2228
feat30_imp6_rat0.2_obs6100.json,30,0.2,6100,1.0,0.5556
feat90_imp59_rat0.65_obs6100.json,90,0.65,6100,0.88,0.3808
feat130_imp124_rat0.95_obs7600.json,130,0.95,7600,0.96,0.3448
feat110_imp88_rat0.8_obs3100.json,110,0.8,3100,0.85,0.2534
feat90_imp18_rat0.2_obs4600.json,90,0.2,4600,0.78,0.4066
feat70_imp56_rat0.8_obs100.json,70,0.8,100,0.89,0.2506
feat70_imp14_rat0.2_obs7600.json,70,0.2,7600,0.93,0.4945
feat50_imp33_rat0.65_obs7600.json,50,0.65,7600,0.94,0.3588
feat110_imp55_rat0.5_obs4600.json,110,0.5,4600,0.84,0.3796
feat50_imp48_rat0.95_obs1600.json,50,0.95,1600,0.96,0.2281
feat90_imp32_rat0.35_obs1600.json,90,0.35,1600,0.81,0.3854
feat130_imp65_rat0.5_obs4600.json,130,0.5,4600,0.72,0.2865
feat90_imp72_rat0.8_obs7600.json,90,0.8,7600,0.92,0.3939
feat50_imp18_rat0.35_obs100.json,50,0.35,100,0.67,0.237
feat130_imp85_rat0.65_obs6100.json,130,0.65,6100,0.85,0.3456
feat90_imp18_rat0.2_obs3100.json,90,0.2,3100,0.83,0.397
